"","Fault Code","Event Description","zoneID"
"Conveyor Zone 1","12601","STA 11 NOT COMPLETE","6"
"Conveyor Zone 3","12601","STA 47 NOT COMPLETE","8"
"Conveyor Zone 2","12601","STA 31 NOT COMPLETE","7"
"Conveyor Zone 2","12602","STA 32 NOT COMPLETE","7"
"Conveyor Zone 3","12602","STA 51 NOT COMPLETE","8"
"Conveyor Zone 1","12602","CHRG STA NOT COMPLETE","6"
"Conveyor Zone 1","12603","STA 24 NOT COMPLETE","6"
"Conveyor Zone 3","12603","STA 55 NOT COMPLETE","8"
"Conveyor Zone 2","12603","STA 33 NOT COMPLETE","7"
"Conveyor Zone 2","12604","STA 40 TCI OVERTRAVELED","7"
"Conveyor Zone 3","12604","STA 57 NOT COMPLETE","8"
"Conveyor Zone 1","12604","STA 28 NOT COMPLETE","6"
"Conveyor Zone 3","12605","REPAIR IN/OUT NOT COMPLETE","8"
"Conveyor Zone 1","12701","WAITING ON AGC AT UNLOAD","6"
"Conveyor Zone 1","14001","STOP-Stn 24 Warning Label Scan","6"
"Conveyor Zone 1","15001","ESTOP - MCP","6"
"Conveyor Zone 3","15001","ESTOP - MCP","8"
"Conveyor Zone 2","15001","ESTOP - MCP","7"
"Conveyor Zone 2","15002","ESTOP - ZONE 1 OR ZONE 3","7"
"Conveyor Zone 1","15002","ESTOP - CONV ZONE 2","6"
"Conveyor Zone 1","15011","ESTOP - STA 11","6"
"Conveyor Zone 3","15011","ESTOP - STA 41","8"
"Conveyor Zone 2","15011","ESTOP - STA 34","7"
"Conveyor Zone 2","15012","ESTOP - STA 36","7"
"Conveyor Zone 3","15012","ESTOP - STA 47","8"
"Conveyor Zone 1","15012","ESTOP - CHARGE STA SOUTH","6"
"Conveyor Zone 1","15013","ESTOP - CHARGE STA NORTH","6"
"Conveyor Zone 3","15013","ESTOP - STA 52","8"
"Conveyor Zone 3","15014","ESTOP - STA 57","8"
"Conveyor Zone 1","15014","ESTOP - STA 24","6"
"Conveyor Zone 3","15015","ESTOP - STA 60","8"
